Words,borrow-ness_value,rank
traffic,10,4.0
superstar,10,4.0
school,10,4.0
scene,10,4.0
group,10,4.0
week,10,4.0
university,10,4.0
degree,9,8.0
request,8,10.5
jeweler,8,10.5
doctor,8,10.5
class,8,10.5
script,7,13.5
hall,7,13.5
luck,6,17.0
judge,6,17.0
road,6,17.0
college,6,17.0
cancer,6,17.0
title,5,20.5
way,5,20.5
toilet,4,25.0
angel,4,25.0
driver,4,25.0
president,4,25.0
shoot,4,25.0
assembly,4,25.0
lyrics,4,25.0
dialogue,2,34.0
officer,2,34.0
singer,2,34.0
journalist,2,34.0
friend,2,34.0
politics,2,34.0
cool,2,34.0
car,2,34.0
uncle,2,34.0
service,2,34.0
parliament,2,34.0
candidate,1,40.0
vacation,0,42.5
seat,0,42.5
blue,0,42.5
day,0,42.5
room,-2,47.5
body,-2,47.5
guy,-2,47.5
town,-2,47.5
rest,-2,47.5
performance,-2,47.5
writer,-3,51.0
boy,-4,55.0
defense,-4,55.0
press,-4,55.0
moments,-4,55.0
magic,-4,55.0
people,-4,55.0
reason,-4,55.0
play,-6,60.0
question,-6,60.0
wrong,-6,60.0
anthem,-7,62.5
house,-7,62.5
god,-8,64.0
society,-10,67.5
farmer,-10,67.5
thing,-10,67.5
matter,-10,67.5
money,-10,67.5
woman,-10,67.5
